rank,school,year
763,"Graduate Faculty, General Research Institute For Nonferrous Metals",2021
764,University of Lübeck,2021
765,Yeungnam University,2021
766,University of Split,2021
767,Centrale Lille Institut,2021
768,University of Girona,2021
769,Örebro University,2021
770,Hohai University,2021
771,Shanxi University,2021
772,University of the Balearic Islands,2021
773,University of Montana,2021
774,Ohio University,2021
775,University of Murcia,2021
776,National Taiwan University of Science and Technology,2021
777,Gwangju Institute of Science and Technology,2021
778,"University of Science, Malaysia",2021
779,Federal University of Paraná,2021
780,Marche Polytechnic University,2021
781,Belarusian State University,2021
782,Kaohsiung Medical University,2021
783,"University of Natural Resources and Life Sciences, Vienna",2021
784,Sorbonne Paris Nord University,2021
785,Wenzhou Medical University,2021
786,Northern Illinois University,2021
787,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,2021
788,"University of Córdoba, Spain",2021
789,National Sun Yat-sen University,2021
790,University of Patras,2021
791,Norwegian University of Life Sciences,2021
792,Tarbiat Modares University,2021
793,Harbin Medical University,2021
794,University of Hohenheim,2021
795,Guangzhou Medical University,2021
796,University of North Carolina at Charlotte,2021
797,Ain Shams University,2021
798,Carl von Ossietzky University of Oldenburg,2021
799,Gyeongsang National University,2021
800,"China Medical University, PRC",2021
801,University of Siegen,2021
802,Gustave Eiffel University,2021
803,University of Jinan,2021
804,Beijing Forestry University,2021
805,"Putra University, Malaysia",2021
806,University of L'Aquila,2021
807,Kindai University,2021
808,Nagasaki University,2021
809,COMSATS University Islamabad,2021
810,Polytechnic University of Bari,2021
811,Brazilian Center for Research in Physics (CBPF),2021
812,University of Rhode Island,2021
813,"Open University, UK",2021
814,Carlos III University of Madrid,2021
815,University of Denver,2021
816,National University of Colombia,2021
817,University of Toledo,2021
818,Indian Institute of Technology Kanpur,2021
819,Adam Mickiewicz University in Poznań,2021
820,Shizuoka University,2021
821,University of Basilicata,2021
822,Miami University,2021
823,Jawaharlal Nehru University,2021
824,Old Dominion University,2021
825,University of Concepción,2021
826,Harbin Engineering University,2021
827,University of Alcalá,2021
828,Graz University of Technology,2021
829,Ryerson University,2021
830,Getúlio Vargas Foundation,2021
831,University of Tours,2021
832,"University of Nevada, Las Vegas",2021
833,Jawaharlal Nehru Centre for Advanced Scientific Research,2021
834,Federico Santa María Technical University,2021
835,Hasselt University,2021
836,University of Messina,2021
837,University of Wrocław,2021
838,Juntendo University,2021
839,Ege University,2021
840,Aberystwyth University,2021
841,Federal University of Pernambuco,2021
842,Benemérita Autonomous University of Puebla,2021
843,Rutgers University–Newark,2021
844,Gazi University,2021
845,University of Alicante,2021
846,Wesleyan University,2021
847,"University of California, Merced",2021
848,Cranfield University,2021
849,University of Mons,2021
850,University of Louisiana at Lafayette,2021
851,Liverpool John Moores University,2021
852,Ivane Javakhishvili Tbilisi State University,2021
853,Jean Monnet University,2021
854,Sofia University,2021
855,Graduate University for Advanced Studies,2021
856,Banaras Hindu University,2021
857,INSA Toulouse,2021
858,"All India Institute of Medical Sciences, New Delhi",2021
859,Uniformed Services University of the Health Sciences,2021
860,Indian Institute of Technology Roorkee,2021
861,Northern Arizona University,2021
862,Tomsk State University,2021
863,Technical University of Kaiserslautern,2021
864,University of Luxembourg,2021
