排名,学校,毕业后五年月薪
456,黑龙江民族职业学院,6651
457,漯河职业技术学院,6651
458,南通职业大学,6647
459,山东杏林科技职业学院,6647
460,鹤岗师范高等专科学校,6645
461,安徽工业经济职业技术学院,6641
462,辽宁石化职业技术学院,6641
463,长沙航空职业技术学院,6640
464,苏州职业大学,6640
465,重庆工业职业技术学院,6638
466,广州科技贸易职业学院,6638
467,西安电力高等专科学校,6635
468,四川职业技术学院,6633
469,山东力明科技职业学院,6630
470,四川电力职业技术学院,6624
471,兰州职业技术学院,6623
472,南京城市职业学院,6622
473,周口职业技术学院,6621
474,阳江职业技术学院,6620
475,炎黄职业技术学院,6618
476,山西水利职业技术学院,6613
477,重庆城市管理职业学院,6613
478,河源职业技术学院,6613
479,曲阜远东职业技术学院,6612
480,南充职业技术学院,6611
481,桂林师范高等专科学校,6610
482,天津工艺美术职业学院,6608
483,湖南电子科技职业学院,6608
484,广西教育学院,6607
485,济源职业技术学院,6598
486,常州纺织服装职业技术学院,6597
487,安徽涉外经济职业学院,6595
488,菏泽医学专科学校,6593
489,仙桃职业学院,6593
490,温州科技职业学院,6591
491,广西工业职业技术学院,6590
492,山东旅游职业学院,6584
493,哈尔滨应用职业技术学院,6582
494,唐山工业职业技术学院,6577
495,安徽冶金科技职业学院,6576
496,南宁职业技术学院,6573
497,石家庄财经职业学院,6571
498,重庆工商职业学院,6569
499,黑龙江农业经济职业学院,6569
500,湖北艺术职业学院,6566
501,广东科贸职业学院,6565
502,广州涉外经济职业技术学院,6565
503,扬州工业职业技术学院,6564
504,福建华南女子职业学院,6563
505,内蒙古商贸职业学院,6562
506,郑州职业技术学院,6557
507,佛山职业技术学院,6553
508,杭州万向职业技术学院,6550
509,柳州铁道职业技术学院,6549
510,新疆交通职业技术学院,6542
511,淮安信息职业技术学院,6541
512,安徽国际商务职业学院,6540
513,武汉科技职业学院,6539
514,山东交通职业学院,6538
515,冀中职业学院,6537
516,渤海船舶职业学院,6537
517,天津城市建设管理职业技术学院,6536
518,郑州信息科技职业学院,6536
519,台州科技职业学院,6535
520,无锡城市职业技术学院,6535
521,襄阳职业技术学院,6534
522,鄂州职业大学,6534
523,重庆工贸职业技术学院,6534
524,哈尔滨电力职业技术学院,6533
525,湖北生态工程职业技术学院,6532
526,嵩山少林武术职业学院,6531
527,武汉民政职业学院,6530
528,铜陵职业技术学院,6529
529,正德职业技术学院,6527
530,湖南外贸职业学院,6517
531,山东胜利职业学院,6516
532,沙洲职业工学院,6516
533,包头轻工职业技术学院,6511
534,无锡科技职业学院,6511
535,湖南邮电职业技术学院,6509
536,郑州工业安全职业学院,6506
537,长沙环境保护职业技术学院,6503
538,四川托普信息技术职业学院,6502
539,广州康大职业技术学院,6500
540,新疆轻工职业技术学院,6494
541,无锡商业职业技术学院,6487
542,安徽新闻出版职业技术学院,6487
543,海南外国语职业学院,6486
544,平顶山工业职业技术学院,6486
545,厦门兴才职业技术学院,6484
546,黑龙江农垦科技职业学院,6484
547,三门峡职业技术学院,6481
548,齐齐哈尔高等师范专科学校,6481
549,广西电力职业技术学院,6473
550,辽宁生态工程职业学院,6470
551,沧州职业技术学院,6470
552,山东职业学院,6470
553,南京铁道职业技术学院,6468
554,福建对外经济贸易职业技术学院,6467
555,扬州市职业大学,6465
556,湖北生物科技职业学院,6462
557,甘肃工业职业技术学院,6462
558,绵阳职业技术学院,6461
559,四川文化产业职业学院,6459
560,江门职业技术学院,6458
561,郑州铁路职业技术学院,6458
562,江苏城市职业学院,6456
563,大庆职业学院,6455
564,民办四川天一学院,6453
